,osmid
1512,26486199
1513,26486202
1514,26486202
1515,41937371
1516,58378297
1517,58378298
1518,41937371
1519,41937371
1520,19801683
1521,19801683
1522,19801683
1523,19801683
1524,26486199
1525,26486199
1526,26486199
1527,26486199
1528,19801710
1529,19801710
1530,120344631
1531,120344631
1532,26486202
1533,26486202
1534,155725944
1535,155725944
1536,41937371
1537,41937371
1538,818917509
1539,818917510
1540,19801713
1541,19801713
1542,818917513
1543,818917512
1544,358095496
1545,26486199
1546,26486199
1547,26486202
1548,26486202
1549,777541713
1550,777541713
1551,198987450
1552,198987450
1553,26486199
1554,26486199
1555,818917516
1556,818917516
1557,818917516
1558,818917507
1559,818917516
1560,818917510
1561,818917516
1562,818917516
1563,818917516
1564,818917516
1565,818917512
1566,818917516
1567,818917516
1568,818917516
1569,818917516
1570,818917516
1571,818917516
1572,818917516
1573,200433514
1574,200433514
1575,29751208
1576,818917513
1577,777541713
1578,818917506
1579,25517369
1580,353687775
1581,26295139
1582,26295139
1583,800683770
1584,800683770
1585,200433514
1586,200433514
1587,76752496
1588,76752496
1589,120343208
1590,748972767
1591,120343440
1592,748972768
1593,48705326
1594,48705326
1595,37764749
1596,225049865
1597,160088238
1598,160088238
1599,37764748
1600,37764748
1601,225049852
1602,25517369
1603,25517369
1604,256387157
1605,256387157
1606,240441065
1607,658719617
1608,29285995
1609,82206922
1610,166843151
1611,38311270
1612,38311271
1613,58378298
1614,58378299
1615,163415577
1616,163415577
1617,58378297
1618,58378297
1619,163415577
1620,163415577
1621,41937367
1622,41937367
1623,41937367
1624,41937367
1625,25530766
1626,41937367
1627,41937367
1628,41937367
1629,41937367
1630,41937367
1631,41937367
1632,41937367
1633,41937367
1634,41937367
1635,41937367
1636,85220270
1637,795748782
1638,41937367
1639,41937367
1640,795748787
1641,795748787
1642,41937367
1643,41937367
1644,54965814
1645,40394320
1646,40394320
1647,54965814
1648,54965814
1649,54965814
1650,54965814
1651,54965814
1652,54965814
1653,101447026
1654,101447026
1655,101447075
1656,101447075
1657,101447026
1658,101447026
1659,24820836
1660,51081204
1661,162843073
1662,527337532
1663,101447026
1664,54965815
1665,54965815
1666,148073481
1667,148073481
1668,54965815
1669,795748785
1670,795748786
1671,54965815
1672,54965815
1673,54965815
1674,54965815
1675,163036220
1676,54965815
1677,54965815
1678,54965815
1679,54965815
1680,40394321
1681,54965818
1682,54965818
1683,54965818
1684,54965819
1685,54965819
1686,54965819
1687,54965819
1688,54965821
1689,402185154
1690,402185154
1691,289095165
1692,289095165
1693,115077666
1694,54965819
1695,54965819
1696,120521487
1697,120521487
1698,54965820
1699,54965820
1700,54965819
1701,54965819
1702,54965820
1703,54965819
1704,85707153
1705,101439242
1706,795748784
1707,209256298
1708,209256298
1709,54965821
1710,38311273
1711,38311273
1712,163415577
1713,163415577
1714,54965822
1715,101439250
1716,101439250
1717,29401317
1718,29401317
1719,54965822
1720,85706761
1721,85706761
1722,101439254
1723,38311273
1724,38311273
1725,79351067
1726,101439250
1727,29401317
1728,29401317
1729,79351067
1730,85706792
1731,85706792
1732,101439241
1733,101439241
1734,101439241
1735,101439241
1736,29401317
1737,29401317
1738,79351258
1739,101439241
1740,79351258
1741,54965825
1742,29401317
1743,29401317
1744,54965825
1745,79350222
1746,58974177
1747,58974177
1748,89713083
1749,101439252
1750,447662462
1751,29401317
1752,29401317
1753,101439252
1754,38311273
1755,38311273
1756,235051072
1757,235051072
1758,170741585
1759,170741585
1760,101439254
1761,101439254
1762,85707136
1763,101439254
1764,101439254
1765,40764841
1766,85707136
1767,85707136
1768,101439233
1769,85707136
1770,85707136
1771,38311273
1772,38311273
1773,82749523
1774,101439261
1775,101439261
1776,54965828
1777,54965828
1778,101439261
1779,40764841
1780,40764841
1781,40995288
1782,54965828
1783,54965828
1784,29401317
1785,29401317
1786,54965828
